,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
0,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My son is unable to find a new home and is unable to find a new home.,It's good to leave your children home for a few days.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be considerate.,[moral_consequence] My son feels better and is able to clean up the sink.,It's good to be considerate of your children.
1,I (myself)'s emotion is happy.,.,[immoral_consequence] The guy is very upset and irritated with the chewing gum.,It's good to take care of your teeth.,Guy's emotion is happy.,Guy's motivation is to be helpful.,[moral_consequence] The guy's mouth is reacted well to the chewing gum.,It's good to take care of your teeth.
2,.,.,[immoral_consequence] The people in the farmhouse are upset and resentful of the situation.,It's good to be aware of your surroundings.,.,.,[immoral_consequence] The neighbors were annoyed by the wind and screamed at them.,It's good to be aware of your surroundings.
3,April's emotion is sad.,April's motivation is to be a good friend.,[immoral_consequence] April's family is upset that they didn't want to leave.,It's good to be happy when you're in a relationship.,April's emotion is sad.,April's motivation is to be a good dentist.,[immoral_consequence] April's friends were annoyed that they didn't like the toothpaste.,It's good to be careful when you're in a toothpaste commercial.
4,Family's emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The family screamed and cried and cried.,It's good to cook for your family.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My family is upset that the meal didn't turn out well.,It's understandable to feel terrible when your family doesn't enjoy the meal.
5,I (myself)'s emotion is sad.,.,[immoral_consequence] My friend was unable to help her and resents her.,It's good to be responsible for your actions.,I (myself)'s emotion is sad.,.,[immoral_consequence] My soul was a lampless sea and she was the tempest.,It's good to be mindful of your soul.
6,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] I was arrested for a crime.,It's good to dock on life.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[moral_consequence] I was able to live a life that was a good one.,It's good to be able to live your life.
7,I (myself)'s emotion is sad.,.,[immoral_consequence] My neighbor is hurt by the flood.,It's understandable to be upset when your neighbor is flooded.,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was disgusted by the flood and was unable to find a new apartment.,It's understandable to be disgusted when your neighbor is living on the floor above you.
8,The senator's emotion is proud.,Senator's motivation is to be helpful.,[moral_consequence] The Senator's speech was praised by the administration.,It's good to praise the administration.,Senator's emotion is upset.,Senator's motivation is to be helpful.,[immoral_consequence] The senator is unable to speak to the administration.,It's understandable to be upset when you disapprove of the administration.
9,.,.,[immoral_consequence] You are unable to pay for your own expenses.,It's good to be able to get a paycheck.,.,.,[immoral_consequence] The bacon is a bit sour and you are unable to eat again.,It's good to be able to eat healthy.
10,.,.,[immoral_consequence] The soil was flooded with water and sewage.,It's good to be careful when you're in the rain.,.,.,[immoral_consequence] The soil gets irritated and irritated.,It's good to be careful when you're in a rainy environment.
11,.,.,[immoral_consequence] The doctor found out that he was feeling depressed and told him to leave.,It's good to feel depressed.,.,.,[immoral_consequence] The other people in the room were hurt and sad.,It's good to be supportive of others.
12,.,.,[immoral_consequence] The other people are hurt by the slur.,It's wrong to be a coward.,.,.,[immoral_consequence] The cow is so brave and frightened that he is so brave.,It's good to be brave.
13,Coworker's emotion is happy.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is annoyed and resents me.,It's good to talk to your coworkers.,Coworker's emotion is annoyed.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker feels like she's being annoying and feels like she's being a jerk.,It's good to be able to talk to your coworkers.
14,Bardem's emotion is happy.,Bardem's motivation is to be helpful.,[immoral_consequence] The bardem is a bit sexist and is a bit sexist.,It's good to be honest with people.,.,.,[immoral_consequence] The bardem is a bit sexist and is a bit sexist.,It's good to be honest with people.
15,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The girl will not be able to kill herself.,It's wrong to kill someone.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The girl will be scared and scared of me.,It's wrong to kill someone in cold blood.
16,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good scientist.,[immoral_consequence] I was unable to get the test and failed the test.,It's good to get the best mark on your test.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good student.,[immoral_consequence] I get a bad grade back on my test.,It's good to get the best possible grade back on your test.
17,.,.,[immoral_consequence] The cat is unable to get into a relationship with someone else.,It's good to cooperate with other people.,.,.,[immoral_consequence] The cat is a bit irritated and irritated by the cat.,It's good to have a pet.
18,.,.,[immoral_consequence] Her body becomes ill.,It's good to be careful when your body becomes limp.,.,.,[immoral_consequence] Her body became a bit irritated and irritated.,It's good to be aware of your body.
19,Republican's emotion is hopeful.,Republican party's motivation is to be a tax leader.,[moral_consequence] The republicans are able to make a tax proposal and make a tax bill.,It's good to propose a tax reform.,Republican's emotion is hopeful.,Republican republicans' motivation is to be a good leader.,[immoral_consequence] The republicans are unable to afford the tax bill.,It's good to be open to the idea of a tax reform.
